id,board,agency,title,primary,secondary,ei_reason,labeler
74ef478b02fe,BKCB10,Police Department,Hire additional uniformed officers,City Services,,,"claude-sonnet, rubric.md, 2026-09-23"
25d9dbf509a3,BKCB10,Department of Buildings,Increase Building Department Inspectors,Land Use,,,"claude-sonnet, rubric.md, 2026-09-23"
292e32edbbe1,BKCB10,Dept. of Health & Mental Hygiene,Increase Funds for Rodent Abatement and Inspections,Health and Human Services,,,"claude-sonnet, rubric.md, 2026-09-23"
7069da1c5335,BKCB10,Department of Sanitation,Increase enforcement of canine waste laws,City Services,,,"claude-sonnet, rubric.md, 2026-09-23"
36ef11c0df58,BKCB10,Department of Sanitation,Increase enforcement of illegal dumping laws,City Services,,,"claude-sonnet, rubric.md, 2026-09-23"
96edc69fe123,BKCB10,Department of Parks & Recreation,Increase funding for Rat Abatement in Parks,Parks and Environment,,,"claude-sonnet, rubric.md, 2026-09-23"
ca57766a9dee,BKCB10,Dept. of Health & Mental Hygiene,Increase funds to Address Mosquito Concentration,Health and Human Services,,,"claude-sonnet, rubric.md, 2026-09-23"
826a2bde501b,BKCB10,Department of Parks & Recreation,Increase headcount for Parks Enforcement Patrol,Parks and Environment,,,"claude-sonnet, rubric.md, 2026-09-23"
18f654648cc8,BKCB10,Department for the Aging,Increase home delivered meals capacity,Health and Human Services,,,"claude-sonnet, rubric.md, 2026-09-23"
ca7bd1d05bba,BKCB10,Department of Environmental Protection,Initiate Study of Combined Sewer Outfalls,City Services,,,"claude-sonnet, rubric.md, 2026-09-23"
98543556ce8c,BKCB10,Department of Parks & Recreation,John J. Carty Park Comfort Station Refurbish,Parks and Environment,,,"claude-sonnet, rubric.md, 2026-09-23"
7e9a51e60e5b,BKCB10,Department of Parks & Recreation,Leif Ericson Park Comfort Station Refurbish,Parks and Environment,,,"claude-sonnet, rubric.md, 2026-09-23"
0e3d17dc1d53,BKCB10,Office of Management & Budget,Maintain Funding for Community Boards,Engagement and Inclusion,,increased community board budget for outreach and technology,"claude-sonnet, rubric.md, 2026-09-23"
adc5af1c0ee6,BKCB10,Department of Parks & Recreation,McKinley Park Comfort Station Upgrade,Parks and Environment,,,"claude-sonnet, rubric.md, 2026-09-23"
61e6792dfcab,BKCB10,Department of Parks & Recreation,New Perimeter Sidewalk Dyker Beach Park,Parks and Environment,,,"claude-sonnet, rubric.md, 2026-09-23"
d2774afb419b,BKCB10,Department of Parks & Recreation,New Perimeter Sidewalk around Leif Ericson Park,Parks and Environment,,,"claude-sonnet, rubric.md, 2026-09-23"
3c2a6dd0b26b,BKCB10,Department of Environmental Protection,Owls Head Wastewater Treatment Plant Capital Upgrades,City Services,,,"claude-sonnet, rubric.md, 2026-09-23"
121a168e821b,BKCB10,Department of Environmental Protection,Oyster Garden shoreline adjacent to Owls Head Wastewater Treatment Facility,City Services,,,"claude-sonnet, rubric.md, 2026-09-23"
c072dd9029ef,BKCB10,Department of Parks & Recreation,Provide Park Restrooms Remain Open Until Dusk,Parks and Environment,,,"claude-sonnet, rubric.md, 2026-09-23"
68cbffc1bbf8,BKCB10,Fire Department,Provide more firefighters or EMS workers,City Services,,,"claude-sonnet, rubric.md, 2026-09-23"
6cd47fda27ff,BKCB10,Department of Sanitation,Provide more frequent litter basket collection and MLP,City Services,,,"claude-sonnet, rubric.md, 2026-09-23"
5333b3712936,BKCB10,Department of Parks & Recreation,Provide more programs in parks or recreational centers,Parks and Environment,,,"claude-sonnet, rubric.md, 2026-09-23"
3b62d666ac41,BKCB10,Department of Cultural Affairs,Provide more public art,Arts and Culture,,,"claude-sonnet, rubric.md, 2026-09-23"
7b2c602dcb78,BKCB10,Department of Parks & Recreation,Reconstruct Leif Ericson Park Playground 5th to 6th Avenue,Parks and Environment,,,"claude-sonnet, rubric.md, 2026-09-23"
1df4ed1a5b5d,BKCB10,Department of Parks & Recreation,Reconstruct Lower Leif Ericson Park,Parks and Environment,,,"claude-sonnet, rubric.md, 2026-09-23"
737db43262df,BKCB10,Department of Parks & Recreation,Reconstruct Shore Road Park Perimeter Sidewalks,Parks and Environment,,,"claude-sonnet, rubric.md, 2026-09-23"
497abdc87551,BKCB10,Department of Transportation,Reconstruct streets in Bay Ridge,City Services,,,"claude-sonnet, rubric.md, 2026-09-23"
f21c47bb114c,BKCB10,Department of Transportation,Reconstruct streets in Dyker Heights,City Services,,,"claude-sonnet, rubric.md, 2026-09-23"
d69de7012de1,BKCB10,Department of Environmental Protection,Recurring Sewer Back Up Drainage Study,City Services,,,"claude-sonnet, rubric.md, 2026-09-23"
8e18f2f18d72,BKCB10,Department of Transportation,Refurbish 76th Street Step Street,City Services,,,"claude-sonnet, rubric.md, 2026-09-23"
0c56fbed1a4d,BKCB10,Department of Parks & Recreation,Refurbish 79th Stree Playground at Shore Road Park,Parks and Environment,,,"claude-sonnet, rubric.md, 2026-09-23"
805114a0cc01,BKCB10,Department of Parks & Recreation,Rehabilitate Tennis Courts,Parks and Environment,,,"claude-sonnet, rubric.md, 2026-09-23"
dbc8ea846f2f,BKCB10,Department of Parks & Recreation,Rehabilitation Dyker Beach Park Ballfields,Parks and Environment,,,"claude-sonnet, rubric.md, 2026-09-23"
305f602096e3,BKCB10,Department of Parks & Recreation,Rehabilitation of Shore Road Park Ball Field at 74th Street,Parks and Environment,,,"claude-sonnet, rubric.md, 2026-09-23"
f3f2c8b5915d,BKCB10,Department of Parks & Recreation,Rehabilitation of Shore Road Park Field at 95 Street,Parks and Environment,,,"claude-sonnet, rubric.md, 2026-09-23"
daf43273938a,BKCB10,Department of Parks & Recreation,Renovate Fort Hamilton Senior Center,Health and Human Services,,,"claude-sonnet, rubric.md, 2026-09-23"
24fca2155e2e,BKCB10,Department of Parks & Recreation,Restore Forestry Contract,Parks and Environment,,,"claude-sonnet, rubric.md, 2026-09-23"
9677f719da90,BKCB10,Department of Parks & Recreation,Russell Pedersen Playground Comfort Station Refurbish,Parks and Environment,,,"claude-sonnet, rubric.md, 2026-09-23"
660cc838f9be,BKCB10,Department of Parks & Recreation,Shore Road Park 79th Street Comfort Station Refurbish,Parks and Environment,,,"claude-sonnet, rubric.md, 2026-09-23"
5bc0aa48a4aa,BKCB10,Department of Parks & Recreation,Shore Road Park Ballfield Refurbish,Parks and Environment,,,"claude-sonnet, rubric.md, 2026-09-23"
a03e0cea49b4,BKCB10,Department of Parks & Recreation,Shore Road Park Pathways,Parks and Environment,,,"claude-sonnet, rubric.md, 2026-09-23"
368f3389ad6e,BKCB10,Department of Parks & Recreation,Shore Road Promenade Arterial Highway Area Native Planting,Parks and Environment,,,"claude-sonnet, rubric.md, 2026-09-23"
1d3c15ec5938,BKCB10,Department of Transportation,Shore Road Promenade install Solar Lighting,Transportation,,,"claude-sonnet, rubric.md, 2026-09-23"
d910e8d86bb0,BKCB10,Police Department,Smartphones for NYPD Traffic Enforcement Officers to handle 311 service requests in real,City Services,,,"claude-sonnet, rubric.md, 2026-09-23"
59abb28f75b7,BKCB10,Department of Transportation,Study to Install Electronic Signage at Belt Parkway,Transportation,,,"claude-sonnet, rubric.md, 2026-09-23"
5a575c838e91,BKCB10,Police Department,Upgrade to Argus Camera System,City Services,,,"claude-sonnet, rubric.md, 2026-09-23"
fd3441d975c8,BKCB11,Department of Environmental Protection,14th Avenue Sewer Odors,City Services,,,"claude-sonnet, rubric.md, 2026-09-23"
5e09418f4d20,BKCB11,Department of Environmental Protection,19th Avenue Sewer Defects,City Services,,,"claude-sonnet, rubric.md, 2026-09-23"
c187f5f4743f,BKCB11,Dept. of Health & Mental Hygiene,Animal and pest control requests including reducing rat and mosquito populations,Health and Human Services,,,"claude-sonnet, rubric.md, 2026-09-23"
72d62368f0e0,BKCB11,Department of Parks & Recreation,Bensonhurst Park NW Quadrant,Parks and Environment,,,"claude-sonnet, rubric.md, 2026-09-23"
125455358d49,BKCB11,Department of Parks & Recreation,Bensonhurst Park Southern Quadrant,Parks and Environment,,,"claude-sonnet, rubric.md, 2026-09-23"
b25fed9c630f,BKCB11,Department of Environmental Protection,Clean catch basins,City Services,,,"claude-sonnet, rubric.md, 2026-09-23"
dc575c6b2603,BKCB11,Department of Parks & Recreation,Enhance park safety through more security staff (police or parks enforcement),Parks and Environment,,,"claude-sonnet, rubric.md, 2026-09-23"
ff82fa2d9dcc,BKCB11,Dept. of Health & Mental Hygiene,Environmental Health,Land Use,,,"claude-sonnet, rubric.md, 2026-09-23"
0977ed6bc238,BKCB11,Department of Environmental Protection,"Evaluate a public location or property for green infrastructure, e.g. rain gardens,",City Services,,,"claude-sonnet, rubric.md, 2026-09-23"
b043a81a5faa,BKCB11,Economic Development Corporation,Expand clean space initiatives for public sites and graffiti free removal program for,Land Use,,,"claude-sonnet, rubric.md, 2026-09-23"
fd3dc90ee29c,BKCB11,Department of Sanitation,Expand opportunities for electronic waste collection and disposal,City Services,,,"claude-sonnet, rubric.md, 2026-09-23"
bd8b5baca155,BKCB11,Human Resources Administration,"Expand, or enhance Emergency Food Assistance Program (EFAP)",Health and Human Services,,,"claude-sonnet, rubric.md, 2026-09-23"
7636a7f4cf90,BKCB11,Department of Parks & Recreation,"Forestry services, including street tree maintenance",Parks and Environment,,,"claude-sonnet, rubric.md, 2026-09-23"
200247e305e5,BKCB11,Police Department,Hire additional traffic enforcement agents,City Services,,,"claude-sonnet, rubric.md, 2026-09-23"
48a037e32320,BKCB11,Police Department,Hire additional uniformed officers,City Services,,,"claude-sonnet, rubric.md, 2026-09-23"
d11bc99010e4,BKCB11,Department of Transportation,"Improve traffic and pedestrian safety, including traffic calming",Transportation,,,"claude-sonnet, rubric.md, 2026-09-23"
b3ea874c7531,BKCB11,Department of Parks & Recreation,Improve trash removal and cleanliness,Parks and Environment,,,"claude-sonnet, rubric.md, 2026-09-23"
b2bbc6578c65,BKCB11,Department of Sanitation,Increase enforcement of dirty sidewalk/dirty area/failure to clean area laws,City Services,,,"claude-sonnet, rubric.md, 2026-09-23"
3ce2e32360b0,BKCB11,Department of Environmental Protection,Inspect sanitary sewer on specific street segment and repair or replace as needed,City Services,,,"claude-sonnet, rubric.md, 2026-09-23"
7da5946b2ded,BKCB11,Department of Transportation,Install streetscape improvements,Transportation,,,"claude-sonnet, rubric.md, 2026-09-23"
375008e47d8f,BKCB11,Economic Development Corporation,Invest in capital projects to improve access to waterfront,Transportation,,,"claude-sonnet, rubric.md, 2026-09-23"
f528543f4b99,BKCB11,Police Department,Other NYPD programs requests,City Services,,,"claude-sonnet, rubric.md, 2026-09-23"
72fee60ce85e,BKCB11,Department of Environmental Protection,Other capital budget request for DEP,City Services,,,"claude-sonnet, rubric.md, 2026-09-23"
a7ee6deac8dc,BKCB11,Department of Environmental Protection,Other capital budget request for DEP,City Services,,,"claude-sonnet, rubric.md, 2026-09-23"
43e72b8abf12,BKCB11,Department of Environmental Protection,Other capital budget request for DEP,City Services,,,"claude-sonnet, rubric.md, 2026-09-23"
36fe67dfb3c8,BKCB11,Department of Environmental Protection,Other capital budget request for DEP,City Services,,,"claude-sonnet, rubric.md, 2026-09-23"
040a4beb9238,BKCB11,Department of Environmental Protection,Other capital budget request for DEP,City Services,,,"claude-sonnet, rubric.md, 2026-09-23"
26a582930455,BKCB11,Department of Environmental Protection,Other capital budget request for DEP,City Services,,,"claude-sonnet, rubric.md, 2026-09-23"
fdf7df82754a,BKCB11,Department of Environmental Protection,Other capital budget request for DEP,City Services,,,"claude-sonnet, rubric.md, 2026-09-23"
2cf6ae450854,BKCB11,Department of Transportation,Other capital budget request for DOT,Transportation,,,"claude-sonnet, rubric.md, 2026-09-23"
9d1a1c5f03ef,BKCB11,Department of Transportation,Other capital budget request for DOT,Transportation,,,"claude-sonnet, rubric.md, 2026-09-23"
6a2a4f30b8cb,BKCB11,Department of Transportation,Other capital budget request for DOT,City Services,,,"claude-sonnet, rubric.md, 2026-09-23"
6ea66eeee301,BKCB11,Department of Transportation,Other capital budget request for DOT,Transportation,,,"claude-sonnet, rubric.md, 2026-09-23"
11619e590870,BKCB11,Department of Sanitation,Other cleaning requests,City Services,,,"claude-sonnet, rubric.md, 2026-09-23"
3108ae122ae5,BKCB11,Department of Sanitation,Other enforcement requests,City Services,,,"claude-sonnet, rubric.md, 2026-09-23"
2a7a275a7d44,BKCB11,Department of Transportation,Other expense budget request for DOT,Transportation,,,"claude-sonnet, rubric.md, 2026-09-23"
5e2d6cd31c11,BKCB11,Department of Parks & Recreation,Other expense budget request for DPR,Parks and Environment,,,"claude-sonnet, rubric.md, 2026-09-23"
7af4aced2ca3,BKCB11,Economic Development Corporation,Other expense budget request for EDC,Land Use,,,"claude-sonnet, rubric.md, 2026-09-23"
